ResponseId,Age,Gender,Gender2,Ethnicity,Ethnicity2,Marital,Employment,Income,swipe1_c_m_a,phys_swipe1_c_m_a,person_swipe1_c_m_a,swipe2_c_m_a,phys_swipe2_c_m_a,person_swipe2_c_a,swipe3_c_f_a,phys_swipe3_c_f_a,person_swipe3_c_f_a,swipe4_c_f_a,phys_swipe4_c_f_a,person_swipe4_c_f_a,swipe5_c_f_a,phys_swipe5_c_f_a,person_swipe5_c_f_a,swipe6_c_m_a,phys_swipe6_c_m_a,person_swipe6_c_m_a,swipe7_c_f_a,phys_swipe7_c_f_a,person_swipe7_c_f_a,swipe8_c_m_a,phys_swipe8_c_m_a,person_swipe8_c_m_a,swipe9_c_m_a,phys_swipe9_c_m_a,person_swipe9_c_m_a,swipe10_c_f_a,phys_swipe10_c_f_a,person_swipe10_c_f_a,swipe11_c_m_a,phys_swipe11_c_m_a,person_swipe11_c_m_a,swipe12_c_f_a,phys_swipe12_c_f_a,person_swipe12_c_f_a,swipe13_c_f_a,phys_swipe13_c_f_a,person_swipe13_c_f_a,swipe14_c_m_a,phys_swipe14_c_m_a,person_swipe14_c_m_a,swipe1_t_m_a,phys_swipe1_t_m_a,person_swipe1_t_m_a,swipe2_t_m_a,phys_swipe2_t_m_a,person_swipe2_t_m_a,swipe3_t_f_a,phys_swipe3_t_f_a,person_swipe3_t_f_a,swipe4_t_f_a,phys_swipe4_t_f_a,person_swipe4_t_f_a,swipe5_t_f_a,phys_swipe5_t_f_a,person_swipe5_t_f_a,swipe6_t_m_a,phys_swipe6_t_m_a,person_swipe6_t_m_a,swipe7_t_f_a,phys_swipe7_t_f_a,person_swipe7_t_f_a,swipe8_t_m_a,phys_swipe8_t_m_a,person_swipe8_t_m_a,swipe9_t_m_a,phys_swipe9_t_m_a,person_swipe9_t_m_a,swipe10_t_f_a,phys_swipe10_t_f_a,person_swipe10_t_f_a,swipe11_t_m_a,phys_swipe11_t_m_a,person_swipe11_t_m_a,swipe12_t_f_a,phys_swipe12_t_f_a,person_swipe12_t_f_a,swipe13_t_f_a,phys_swipe13_t_f_a,person_swipe13_t_f_a,swipe14_t_m_a,phys_swipe14_t_m_a,person_swipe14_t_m_a,swipe1_c_f_b,phys_swipe1_c_f_b,person_swipe1_c_f_b,swipe2_c_f_b,phys_swipe2_c_f_b,person_swipe2_c_f_b,swipe3_c_f_b,phys_swipe3_c_f_b,person_swipe3_c_f_b,swipe4_c_m_b,phys_swipe4_c_m_b,person_swipe4_c_m_b,swipe5_c_m_b,phys_swipe5_c_m_b,person_swipe5_c_m_b,swipe6_c_f_b,phys_swipe6_c_f_b,person_swipe6_c_f_b,swipe7_c_m_b,phys_swipe7_c_m_b,person_swipe7_c_m_b,swipe8_c_m_b,phys_swipe8_c_m_b,person_swipe8_c_m_b,swipe9_c_m_b,phys_swipe9_c_m_b,person_swipe9_c_m_b,swipe10_c_f_b,phys_swipe10_c_f_b,person_swipe10_c_f_b,swipe11_c_f_b,phys_swipe11_c_f_b,person_swipe11_c_f_b,swipe12_c_f_b,phys_swipe12_c_f_b,person_swipe12_c_f_b,swipe13_c_m_b,phys_swipe13_c_m_b,person_swipe13_c_m_b,swipe14_c_m_b,phys_swipe14_c_m_b,person_swipe14_c_m_b,swipe1_t_f_b,phys_swipe1_t_f_b,person_swipe1_t_f_b,swipe2_t_f_b,phys_swipe2_t_f_b,person_swipe2_t_f_b,swipe3_t_f_b,phys_swipe3_t_f_b,person_swipe3_t_f_b,swipe4_t_m_b,phys_swipe4_t_m_b,person_swipe4_t_m_b,swipe5_t_m_b,phys_swipe5_t_m_b,person_swipe5_t_m_b,swipe6_t_f_b,phys_swipe6_t_f_b,person_swipe6_t_f_b,swipe7_t_m_b,phys_swipe7_t_m_b,person_swipe7_t_m_b,swipe8_t_m_b,phys_swipe8_t_m_b,person_swipe8_t_m_b,swipe9_t_m_b,phys_swipe9_t_m_b,person_swipe9_t_m_b,swipe10_t_f_b,phys_swipe10_t_f_b,person_swipe10_t_f_b,swipe11_t_f_b,phys_swipe11_t_f_b,person_swipe11_t_f_b,swipe12_t_f_b,phys_swipe12_t_f_b,person_swipe12_t_f_b,swipe13_t_m_b,phys_swipe13_t_m_b,person_swipe13_t_m_b,swipe14_t_m_b,phys_swipe14_t_m_b,person_swipe14_t_m_b,swipe1_c_f_c,phys_swipe1_c_f_c,person_swipe1_c_f_c,swipe2_c_m_c,phys_swipe2_c_m_c,person_swipe2_c_m_c,swipe3_c_f_c,phys_swipe3_c_f_c,person_swipe3_c_f_c,swipe4_c_f_c,phys_swipe4_c_f_c,person_swipe4_c_f_c,swipe5_c_f_c,phys_swipe5_c_f_c,person_swipe5_c_f_c,swipe6_c_m_c,phys_swipe6_c_m_c,person_swipe6_c_m_c,swipe7_c_f_c,phys_swipe7_c_f_c,person_swipe7_c_f_c,swipe8_c_m_c,phys_swipe8_c_m_c,person_swipe8_c_m_c,swipe9_c_m_c,phys_swipe9_c_m_c,person_swipe9_c_m_c,swipe10_c_f_c,phys_swipe10_c_f_c,person_swipe10_c_f_c,swipe11_c_m_c,phys_swipe11_c_m_c,person_swipe11_c_m_c,swipe12_c_m_c,phys_swipe12_c_m_c,person_swipe12_c_m_c,swipe13_c_f_c,phys_swipe13_c_f_c,person_swipe13_c_f_c,swipe14_c_m_c,phys_swipe14_c_m_c,person_swipe14_c_m_c,swipe1_t_f_c,phys_swipe1_t_f_c,person_swipe1_t_f_c,swipe2_t_m_c,phys_swipe2_t_m_c,person_swipe2_t_m_c,swipe3_t_f_c,phys_swipe3_t_f_c,person_swipe3_t_f_c,swipe4_t_f_c,phys_swipe4_t_f_c,person_swipe4_t_f_c,swipe5_t_f_c,phys_swipe5_t_f_c,person_swipe5_t_f_c,swipe6_t_m_c,phys_swipe6_t_m_c,person_swipe6_t_m_c,swipe7_t_f_c,phys_swipe7_t_f_c,person_swipe7_t_f_c,swipe8_t_m_c,phys_swipe8_t_m_c,person_swipe8_t_m_c,swipe9_t_m_c,phys_swipe9_t_m_c,person_swipe9_t_m_c,swipe10_t_f_c,phys_swipe10_t_f_c,person_swipe10_t_f_c,swipe11_t_m_c,phys_swipe11_t_m_c,person_swipe11_t_m_c,swipe12_t_m_c,phys_swipe12_t_m_c,person_swipe12_t_m_c,swipe13_t_f_c,phys_swipe13_t_f_c,person_swipe13_t_f_c,swipe14_t_m_c,phys_swipe14_t_m_c,person_swipe14_t_m_c,swipe1_c_m_d,phys_swipe1_c_m_d,person_swipe1_c_m_d,swipe2_c_m_d,phys_swipe2_c_m_d,person_swipe2_c_m_d,swipe3_c_f_d,phys_swipe3_c_f_d,person_swipe3_c_f_d,swipe4_c_f_d,phys_swipe4_c_f_d,person_swipe4_c_f_d,swipe5_c_f_d,phys_swipe5_c_f_d,person_swipe5_c_f_d,swipe6_c_f_d,phys_swipe6_c_f_d,person_swipe6_c_f_d,swipe7_c_m_d,phys_swipe7_c_m_d,person_swipe7_c_m_d,swipe8_c_m_d,phys_swipe8_c_m_d,person_swipe8_c_m_d,swipe9_c_f_d,phys_swipe9_c_f_d,person_swipe9_c_f_d,swipe10_c_m_d,phys_swipe10_c_m_d,person_swipe10_c_m_d,swipe11_c_f_d,phys_swipe11_c_f_d,person_swipe11_c_f_d,swipe12_c_f_d,phys_swipe12_c_f_d,person_swipe12_c_f_d,swipe13_c_m_d,phys_swipe13_c_m_d,person_swipe13_c_m_d,swipe14_c_m_d,phys_swipe14_c_m_d,person_swipe14_c_m_d,swipe1_t_m_d,phys_swipe1_t_m_d,person_swipe1_t_m_d,swipe2_t_m_d,phys_swipe2_t_m_d,person_swipe2_t_m_d,swipe3_t_f_d,phys_swipe3_t_f_d,person_swipe3_t_f_d,swipe4_t_f_d,phys_swipe4_t_f_d,person_swipe4_t_f_d,swipe5_t_f_d,phys_swipe5_t_f_d,person_swipe5_t_f_d,swipe6_t_f_d,phys_swipe6_t_f_d,person_swipe6_t_f_d,swipe7_t_m_d,phys_swipe7_t_m_d,person_swipe7_t_m_d,swipe8_t_m_d,phys_swipe8_t_m_d,person_swipe8_t_m_d,swipe9_t_f_d,phys_swipe9_t_f_d,person_swipe9_t_f_d,swipe10_t_m_d,phys_swipe10_t_m_d,person_swipe10_t_m_d,swipe11_t_m_d,phys_swipe11_t_f_d,person_swipe11_t_f_d,swipe12_t_f_d,phys_swipe12_t_f_d,person_swipe12_t_f_d,swipe13_t_m_d,phys_swipe13_t_m_d,person_swipe13_t_m_d,swipe14_t_m_d,phys_swipe14_t_m_d,person_swipe14_t_m_d,ideal_phys_fr,ideal_person_fr
R_xi0kxB99fcZxxGV,25-34,Woman,"",Asian,"",Single,Employed for wages,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10_f_smile_nike,Hair,Adventurous,6_m_nonsmile_nike,Hair,Hardworking,7_f_nonsmile_nike,Smile,Fun,11_f_nonsmile_none,Eyes,Hardworking,15_f_nonsmile_tjs,Hair,Kind,15_m_nonsmile_tjs,Body type,Hardworking,9_f_smile_none,Hair,Trustworthy,12_m_nonsmile_nike,Hair,Hardworking,14_m_nonsmile_tjs,Hair,Hardworking,1_f_nonsmile_nike,Hair,Trustworthy,4_m_nonsmile_tjs,Body type,Hardworking,9_m_smile_nike,Smile,Kind,5_f_nonsmile_tjs,Hair,Hardworking,17_m_smile_nike,Smile,Adventurous,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Body Type,Kind
R_1qVYpGlDZSD63Yt,18-24,Woman,"",Hispanic or Latino,"",Single,Student,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11_f_smile_nike,Eyes,Adventurous,8_f_nonsmile_tjs,Eyes,Hardworking,5_f_smile_none,Smile,Kind,6_m_smile_none,Hair,Fun,4_m_smile_tjs,Eyes,Kind,2_f_nonsmile_nike,Hair,Hardworking,9_m_nonsmile_none,Hair,Hardworking,11_m_nonsmile_nike,Body Type,Adventurous,1_m_smile_tjs,Hair,Trustworthy,14_f_nonsmile_nike,Smile,Hardworking,9_f_smile_nike,Smile,Fun,7_f_smile_tjs,Hair,Fun,16_m_smile_nike,Smile,Kind,19_m_smile_tjs,Smile,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Hardworking
R_sAscbv1xunOmgj7,25-34,Man,"",White,"",Single,Self-employed,"$35,000-$49,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10_m_nonsmile_nike,Body Type,Hardworking,16_m_smile_none,Smile,Fun,3_f_smile_none,"",Kind,4_f_nonsmile_none,Smile,Fun,9_f_smile_none,Eyes,Kind,17_m_smile_none,Smile,Adventurous,10_f_smile_tjs,Smile,Fun,2_m_nonsmile_tjs,Hair,Fun,1_m_smile_nike,Smile,Fun,6_f_nonesmile_nike,Eyes,Kind,6_m_smile_nike,Smile,Kind,1_f_smile_nike,Smile,Trustworthy,14_f_smile_nike,Smile,Kind,19_m_smile_none,Smile,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Fun
R_bDT8ocULdiadHFv,25-34,Woman,"",White,"",Married,Employed for wages,"Over $100,000",10_m_nonsmile_none,Hair,Kind,3_m_smile_none,Smile,Kind,8_f_nonsmile_none,Smile,Hardworking,4_f_nonsmile_none,Smile,Fun,5_f_smile_none,Hair,Fun,18_m_nonsmile_none,Hair,Hardworking,7_f_smile_none,Smile,Kind,15_m_nonsmile_none,Hair,Hardworking,5_m_nonsmile_none,Hair,Adventurous,6_f_nonesmile_none,Eyes,Fun,13_m_nonsmile_none,Body Type,Hardworking,2_f_nonsmile_none,Eyes,Hardworking,13_f_nonsmile_none,Smile,Trustworthy,19_m_smile_none,Smile,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Eyes,Kind
R_302Hu5SNy0bXbMA,25-34,Woman,"",Asian,"",Single,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16_m_nonsmile_nike,Body Type,Adventurous,5_m_smile_nike,Eyes,Hardworking,7_f_smile_nike,Smile,Kind,12_f_smile_nike,Smile,Kind,8_f_smile_tjs,Smile,Hardworking,6_f_smile_none,Smile,Fun,9_m_smile_nike,Smile,Adventurous,4_m_smile_tjs,Smile,Kind,1_f_smile_none,Smile,Trustworthy,12_m_nonsmile_none,Hair,Hardworking,3_f_smile_none,Smile,Kind,2_f_nonsmile_tjs,Smile,Trustworthy,1_m_smile_tjs,Smile,Fun,7_m_smile_nike,Smile,Kind,Smile,Kind
R_2DYMbyH8IFAsv83,35-44,Woman,"",White,"",Married,Employed for wages,"$35,000-$49,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13_f_smile_none,Smile,Fun,8_f_nonsmile_none,Body Type,Hardworking,5_f_smile_none,Smile,Fun,6_m_smile_none,Body Type,Trustworthy,4_m_smile_none,Smile,Hardworking,10_f_smile_none,Body Type,Fun,7_m_nonsmile_none,Body Type,Trustworthy,3_m_smile_none,Smile,Fun,1_m_smile_none,Smile,Trustworthy,12_f_smile_none,Hair,Kind,9_f_smile_none,Body Type,Fun,6_f_nonsmile_none,Body Type,Hardworking,16_m_smile_none,Smile,Hardworking,2_m_smile_none,Body Type,Adventurous,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Hardworking
R_2VBGjRyyXNNimMY,25-34,Man,"",White,"",Single,Employed for wages,"Under $20,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11_f_smile_nike,Smile,Kind,8_f_nonsmile_tjs,Body Type,Trustworthy,5_f_smile_none,Body Type,Fun,6_m_smile_none,Hair,Hardworking,4_m_smile_tjs,Eyes,Trustworthy,10_f_smile_tjs,Smile,Fun,9_m_nonsmile_none,Smile,Adventurous,3_m_smile_tjs,Smile,Trustworthy,10_m_nonsmile_nike,Body Type,Hardworking,14_f_nonsmile_nike,Hair,Fun,4_f_nonsmile_none,Eyes,Trustworthy,6_f_nonsmile_none,Eyes,Kind,16_m_smile_nike,Body Type,Adventurous,2_m_nonsmile_none,Body Type,Hardworking,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Kind
R_3NJWhgSOB2DKvc9,35-44,Man,"",White,"",Married,Employed for wages,"$75,000-$99,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13_f_smile_none,Smile,Kind,8_f_nonsmile_none,Body Type,Adventurous,5_f_smile_none,Smile,Fun,6_m_smile_none,Body Type,Hardworking,4_m_smile_none,Smile,Fun,10_f_smile_none,Hair,Kind,7_m_nonsmile_none,Body Type,Hardworking,3_m_smile_none,Smile,Hardworking,1_m_smile_none,Body Type,Hardworking,12_f_smile_none,Smile,Trustworthy,9_f_smile_none,Smile,Kind,6_f_nonsmile_none,Hair,Adventurous,16_m_smile_none,Body Type,Kind,2_m_smile_none,Eyes,Kind,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Trustworthy
R_2DOVOrqT4Y1yjWt,55-64,Man,"",White,"",Married,Self-employed,"$50,000-$74,999",10_m_nonsmile_none,Body Type,Hardworking,3_m_smile_none,Smile,Kind,8_f_nonsmile_none,Smile,Hardworking,4_f_nonsmile_none,Body Type,Fun,5_f_smile_none,Smile,Hardworking,18_m_nonsmile_none,Eyes,Hardworking,7_f_smile_none,Body Type,Fun,15_m_nonsmile_none,Hair,Trustworthy,5_m_nonsmile_none,Eyes,Trustworthy,6_f_nonesmile_none,Hair,Kind,13_m_nonsmile_none,Smile,Hardworking,2_f_nonsmile_none,Hair,Fun,13_f_nonsmile_none,Smile,Fun,19_m_smile_none,Body Type,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Trustworthy
R_1mymLL8Uwt4PyZ6,25-34,Man,"",Hispanic or Latino,"",Married,Employed for wages,"$35,000-$49,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3_m_smile_none,Hair,Trustworthy,5_m_smile_none,Smile,Trustworthy,7_f_smile_none,Hair,Adventurous,12_f_smile_none,Eyes,Kind,10_f_smile_none,Eyes,Fun,4_f_smile_none,Smile,Kind,9_m_smile_none,Eyes,Kind,15_m_nonsmile_none,Body Type,Hardworking,1_f_smile_none,Body Type,Kind,11_m_smile_none,Eyes,Kind,15_f_smile_none,Hair,Adventurous,2_f_nonsmile_none,Hair,Fun,1_m_smile_none,Eyes,Adventurous,10_m_nonsmile_none,Hair,Trustworthy,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Eyes,Trustworthy
R_3MxGcUyIUn96YuZ,25-34,Woman,"",White,"",Single,Employed for wages,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10_m_nonsmile_nike,Hair,Kind,3_m_smile_nike,Eyes,Fun,3_f_smile_none,"",Fun,4_f_nonsmile_none,Smile,Fun,9_f_smile_none,Smile,Kind,17_m_smile_none,Smile,Trustworthy,7_f_smile_none,Smile,Kind,15_m_nonsmile_none,Body Type,Adventurous,1_m_smile_nike,Hair,Adventurous,12_f_nonsmile_tjs,Smile,Kind,6_m_smile_nike,Smile,Kind,2_f_nonsmile_none,Body Type,Hardworking,13_f_nonsmile_none,Hair,Hardworking,12_m_smile_tjs,Eyes,Adventurous,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Body Type,Trustworthy
R_2SpoR4F5mc1KbDi,35-44,Man,"",White,"",Married,Employed for wages,"$35,000-$49,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_f_nonsmile,Smile,Kind,6_m_nonsmile,Smile,Adventurous,7_f_nonsmile,Hair,Trustworthy,13_f_smile,Eyes,Adventurous,2_f_nonsmile,Eyes,Kind,15_m_nonsmile,Hair,Fun,9_f_smile,Smile,Fun,8_m_smile,Smile,Hardworking,14_m_nonsmile,Hair,Kind,1_f_nonsmile,Hair,Trustworthy,4_m_nonsmile,Smile,Trustworthy,11_m_nonsmile,Hair,Adventurous,5_f_nonsmile,Eyes,Kind,17_m_smile,Smile,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Eyes,Trustworthy
R_31pI5o27t8tRQQt,25-34,Man,"",Other/Two or More,Latino and White,Single,Employed for wages,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_f_nonsmile,Eyes,Fun,6_m_nonsmile,Body type,Fun,7_f_nonsmile,Body type,Fun,13_f_smile,Eyes,Kind,2_f_nonsmile,Eyes,Fun,15_m_nonsmile,Body type,Adventurous,9_f_smile,Smile,Kind,8_m_smile,Hair,Adventurous,14_m_nonsmile,Hair,Kind,1_f_nonsmile,Eyes,Hardworking,4_m_nonsmile,Eyes,Fun,11_m_nonsmile,Body type,Fun,5_f_nonsmile,Hair,Fun,17_m_smile,Hair,Kind,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Fun
R_2qeeCnrnzIH25ap,25-34,Man,"",Black or African-American,"",Married,Employed for wages,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_f_nonsmile_tjs,Smile,Trustworthy,6_m_nonsmile_nike,Smile,Trustworthy,7_f_nonsmile_nike,Eyes,Hardworking,11_f_nonsmile_none,Eyes,Hardworking,15_f_nonsmile_tjs,Eyes,Hardworking,15_m_nonsmile_tjs,Smile,Trustworthy,12_f_smile_nike,Smile,Trustworthy,8_m_smile_tjs,Body type,Hardworking,14_m_nonsmile_tjs,Eyes,Adventurous,1_f_nonsmile_nike,Eyes,Kind,7_m_smile_nike,Hair,Trustworthy,11_m_nonsmile_tjs,Body type,Trustworthy,5_f_nonsmile_tjs,Body type,Trustworthy,17_m_smile_nike,Smile,Kind,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Trustworthy
R_3PLYw10BZkB0til,55-64,Man,"",White,"",Single,Self-employed,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3_m_smile_tjs,Smile,Fun,5_m_smile_nike,Body Type,Trustworthy,5_f_nonsmile_tjs,Hair,Hardworking,12_f_smile_nike,Hair,Adventurous,8_f_smile_tjs,Smile,Fun,6_f_smile_none,Smile,Adventurous,13_m_nonsmile_tjs,Hair,Trustworthy,4_m_smile_tjs,Smile,Trustworthy,14_f_smile_nike,Smile,Trustworthy,11_m_smile_tjs,Eyes,Kind,15_f_smile_tjs,Smile,Trustworthy,2_f_nonsmile_tjs,Eyes,Kind,1_m_smile_tjs,Smile,Adventurous,7_m_smile_nike,Smile,Kind,Body Type,Kind
